,viet tat_x,mean,viet tat_y,_merge
574,PMU,Ban quản lý dự án,,left_only
575,PMU18,Ban quản lý dự án 18,,left_only
576,PN,Phụ nữ,,left_only
577,PNTR,Quy chế Thương mại bình thường vĩnh viễn,,left_only
578,PP,phương pháp,,left_only
579,PS,Phóng sự,,left_only
580,PTCS,Phổ thông cơ sở,,left_only
581,PTN,phòng thí nghiệm,,left_only
582,PTNT,Phát triển Nông thôn,,left_only
583,PTSC,Công ty Dịch vụ Kỹ thuật dầu khí,,left_only
584,PTT,Phó thủ tướng,,left_only
585,PTTH,Phổ thông trung học,,left_only
586,PTTM,Phẫu thuật thẩm mỹ,,left_only
587,PTTT,Phát triển trẻ thơ,,left_only
588,PTV,Phát thanh viên,,left_only
590,PY,Phú Yên,,left_only
591,QBLTD,Quĩ bảo lãnh tín dụng,,left_only
592,QC,Quy chế,,left_only
593,QCDCCS,quy chế dân chủ cơ sở,,left_only
594,QCGNHH,Quy chế ghi nhãn hàng hóa,,left_only
595,QCHQ,quan chức hải quan,,left_only
596,QCKDTXD,Quy chế kinh doanh thép xây dựng,,left_only
597,QCKT,quy chuẩn kĩ thuật,,left_only
598,QĐ,Quyết định,,left_only
599,QĐND,Quân đội nhân dân,,left_only
600,QG,Quốc gia,,left_only
601,QH,Quốc hội,,left_only
602,QHTD,Quan hệ tình dục,,left_only
603,QK,Quân khu,,left_only
604,QL,Quản lý,,left_only
605,QLD,Quản lý dược,,left_only
606,QLDA,Quản lý dự án,,left_only
607,QLĐT,Quản lý Đào tạo,,left_only
608,QLTT,Quản lý thị trường,,left_only
609,QN,Quảng Ninh,,left_only
610,QSD,quyền sử dụng,,left_only
611,QSDĐ,quyền sử dụng đất,,left_only
612,QTKD,Quản trị Kinh doanh,,left_only
613,RLC,rối loạn cương,,left_only
614,RLCD,rối loạn cương dương,,left_only
616,SBD,Số báo danh,,left_only
617,SBS,Công ty Chứng khoán Ngân hàng Sài Gòn Thương Tín,,left_only
618,SD,sử dụng,,left_only
619,SDĐ,sử dụng đất,,left_only
620,SDĐNN,sử dụng đất nông nghiệp,,left_only
621,SĐH,sau đại học,,left_only
622,SĐK,số đăng ký,,left_only
623,SĐNĐ,Sông Đà Nam Định,,left_only
624,SĐT,số điện thoại,,left_only
625,SĐTLA,Sơn Đồng Tâm Long An,,left_only
626,SG,Sài Gòn,,left_only
627,SGD,Sở giáo dục,,left_only
628,SGGP,Sài gòn giải phóng,,left_only
629,SGK,Sách giáo khoa,,left_only
630,SGT,Saigontourist,,left_only
631,SGTT,Sài Gòn Tiếp Thị,,left_only
632,SGTVT,Sở Giao thông Vận tải,,left_only
633,SH,Sinh hoạt,,left_only
634,SHNN,Sở hữu nhà nước,,left_only
635,SHTD,sinh hoạt tình dục,,left_only
636,SHTT,sở hữu trí tuệ,,left_only
637,SJC,Công Ty Vàng Bạc Đá Quý TP Hồ Chí Minh,,left_only
638,SK,Sân khấu,,left_only
639,SKHCN,Sở Khoa học Công nghệ,,left_only
640,SKHCNMT,Sở Khoa học Công nghệ và Môi trường,,left_only
641,SKHĐT,Sở Kế hoạch và Đầu tư,,left_only
642,SKSS,sức khỏe sinh sản,,left_only
643,SLNA,Sông Lam Nghệ An,,left_only
644,SMĐH,Sao mai Điểm hẹn,,left_only
646,SNN,sở Nông nghiệp,,left_only
648,SPKT,Sư phạm kỹ thuật,,left_only
649,SS,Sĩ số,,left_only
650,SSA,Hiệp hội Tôm miền Nam nước Mỹ,,left_only
651,STB,Ngân hàng thương mại cổ phần Sài Gòn Thương Tín,,left_only
652,SV,Sinh viên,,left_only
653,SVĐ,Sân vận động,,left_only
654,SVĐV,Sao Vàng Đất Việt,,left_only
655,SVHS,Sinh viên học sinh,,left_only
656,SV–HS,Sinh viên học sinh,,left_only
657,SVNCKH,Sinh viên nghiên cứu khoa học,,left_only
658,SVTN,Sinh viên tình nguyện,,left_only
659,SVVN,Sinh viên Việt Nam,,left_only
660,SX,Sản xuất,,left_only
661,SXH,sốt xuất huyết,,left_only
662,SYLL,Sơ yếu lý lịch,,left_only
663,TACN,thức ăn chăn nuôi,,left_only
664,TAND,Tòa án nhân dân,,left_only
665,TANDTC,Tòa án Nhân dân Tối cao,,left_only
666,TBD,Thái Bình Dương,,left_only
667,TBKTSG,Thời báo kinh tế Sài Gòn,,left_only
668,TBKTVN,Thời báo Kinh tế Việt Nam,,left_only
669,TBMMN,Tai biến mạch máu não,,left_only
670,TBT,Tổng biên tập,,left_only
671,TBTT,thuê bao trả trước,,left_only
672,TBXH,Thương binh Xã hội,,left_only
674,TCBVNTD,Tiêu chuẩn và bảo vệ người tiêu dùng,,left_only
675,TCCN,trung cấp chuyên nghiệp,,left_only
677,TCDL,Tổng cục Du lịch,,left_only
678,TCHL,tuyệt chủng hàng loạt,,left_only
679,TCHQ,Tổng cục hải quan,,left_only
681,TCKT,Tài chính - Kế toán,,left_only
682,TCMN,thủ công mỹ nghệ,,left_only
683,TCMR,tiêm chủng mở rộng,,left_only
684,TCN,trung cấp nghề,,left_only
685,TCNN,Tài chính nhà nước,,left_only
686,TCS,Trịnh Công Sơn,,left_only
687,TCT,Tổng công ty,,left_only
688,TCTD,tổ chức tín dụng,,left_only
689,TCTT,trò chơi trực tuyến,,left_only
690,TCTTMSG,Tổng công ty Thương mại Sài Gòn,,left_only
691,TCVN,Tiêu chuẩn Việt Nam,,left_only
692,TCVSG,Thảo Cầm Viên Sài Gòn,,left_only
693,TD,tình dục,,left_only
694,TĐ,từ điển,,left_only
695,TĐBKVN,Từ Điển Bách Khoa Việt Nam,,left_only
696,TĐC,tái định cư,,left_only
697,TDTT,Thể dục thể thao,,left_only
698,TDTTQG,Thể dục thể thao Quốc gia,,left_only
699,TDV,trình dược viên,,left_only
700,TFS,Hãng phim Truyền hình TPHCM,,left_only
701,TG,thế giới,,left_only
702,TGĐ,Tổng giám đốc,,left_only
703,TGPL,trợ giúp pháp lý,,left_only
705,THCB,Trung học Chuyên ban,,left_only
706,THCN,Trung học chuyên nghiệp,,left_only
707,THCS,Trung học cơ sở,,left_only
708,THCSND,Thực hiện chính sách nhà đất,,left_only
709,THCSNĐ,Thực hiện chính sách nhà đất,,left_only
710,THDL,trung học dân lập,,left_only
711,THGT,tín hiệu giao thông,,left_only
712,THKTS,truyền hình kỹ thuật số,,left_only
713,THKTSMĐ,truyền hình kỹ thuật số mặt đất,,left_only
714,THPT,Trung học phổ thông,,left_only
715,THQG,thương hiệu quốc gia,,left_only
716,THS,Tín hiệu số,,left_only
717,THTT,truyền hình trực tiếp,,left_only
718,THVN,Truyền hình Việt Nam,,left_only
719,THX,Tân hoa xã,,left_only
720,TK,thiết kế,,left_only
721,TKCN,tìm kiếm cứu nạn,,left_only
722,TM,Thương mại,,left_only
723,TMCP,Thương mại cổ phần,,left_only
724,TMĐT,Thương mại Điện tử,,left_only
725,TMN,Thép Miền Nam,,left_only
726,TMV,Công ty ôtô Toyota Việt Nam,,left_only
727,TN,Thanh niên,,left_only
728,TNCN,thu nhập cá nhân,,left_only
729,TNCS,Thanh niên cộng sản,,left_only
730,TNĐH,tốt nghiệp đại học,,left_only
731,TNDN,Thu nhập doanh nghiệp,,left_only
732,TNĐT,Thoát nước Đô thị,,left_only
733,TNGT,Tai nạn giao thông,,left_only
734,TNHC,Trinh nữ hoàng cung,,left_only
735,TNHH,Trách nhiệm hữu hạn,,left_only
736,TNK,thuế nhập khẩu,,left_only
737,TNKQ,trắc nghiệm khách quan,,left_only
738,TNLN,thanh niên lập nghiệp,,left_only
739,TNMT,Tài nguyên Môi trường,,left_only
740,TNND,Tiếng nói Nhân dân,,left_only
741,TNNT,thanh niên nông thôn,,left_only
742,TNO,Thanh niên Online,,left_only
743,TNS,tu nghiệp sinh,,left_only
744,TNSV,thanh niên sinh viên,,left_only
745,TNSVVN,thanh niên sinh viên Việt Nam,,left_only
746,TNT,Tình Nguyện Trẻ,,left_only
748,TNTP,Thiếu niên Tiền phong,,left_only
749,TNV,Tình nguyện viên,,left_only
750,TNVN,Thanh niên Việt Nam,,left_only
751,TNXH,tệ nạn xã hội,,left_only
752,TNXK,Thanh niên xung kích,,left_only
753,TNXP,Thanh niên xung phong,,left_only
754,TPCĐ,trái phiếu chuyển đổi,,left_only
755,TPCN,Thực phẩm chức năng,,left_only
756,TPCT,Thành phố Cần Thơ,,left_only
757,TPHCM,Thành phố Hồ Chí Minh,,left_only
758,TPO,Tiên phong Online,,left_only
759,TQ,Trung Quốc,,left_only
760,TSDĐ,tiền sử dụng đất,,left_only
761,TSKH,Tiến sỹ Khoa học,,left_only
762,TSN,Tân Sơn Nhất,,left_only
764,TTBĐS,thị trường bất động sản,,left_only
765,TTBDVH,Trung tâm bồi dưỡng văn hóa,,left_only
766,TTBDVHNG,Trung tâm bồi dưỡng văn hóa ngoài giờ,,left_only
767,TTBVQTG,Trung tâm bảo vệ quyền tác giả,,left_only
768,TTBYT,Trang thiết bị y tế,,left_only
771,TTCP,"Thanh tra Chính phủ , Thủ tướng Chính phủ",,left_only
772,TTCT,Thể Thao Cuối Tuần,,left_only
773,TTĐB,thuế Tiêu thụ đặc biệt,,left_only
774,TTDD,Trung tâm Dinh dưỡng,,left_only
775,TTĐM,Trung tâm Điện máy,,left_only
776,TTDV,Trung tâm Dịch vụ,,left_only
777,TTDVVL,Trung tâm Dịch vụ việc làm,,left_only
778,TTg,Thủ tướng,,left_only
779,TTGDCK,Trung tâm giao dich chứng khoán,,left_only
780,TTGDTX,Trung tâm Giáo dục thường xuyên,,left_only
781,TTGT,Trật tự Giao thông,,left_only
782,TTH,Thừa Thiên Huế,,left_only
783,TTHTCĐ,Trung tâm học tập cộng đồng,,left_only
784,TTHTSV,trung tâm hỗ trợ sinh viên,,left_only
785,TTK,tổng thư ký,,left_only
786,TTLT,Thông tư liên tịch,,left_only
787,TTN,thanh thiếu niên,,left_only
788,TTNN,Trung tâm Ngoại Ngữ,,left_only
789,TTO,Tuổi trẻ online,,left_only
790,TTQLKT,trật tự quản lý kinh tế,,left_only
791,TTTH,Trung tâm Tin học,,left_only
792,TTTM,trung tâm thương mại,,left_only
793,TTTON,thụ tinh trong ống nghiệm,,left_only
794,TTTTN,trí thức trẻ tình nguyện,,left_only
795,TTVGT,trật tự viên giao thông,,left_only
796,TTVH,Trung tâm Văn hóa,,left_only
798,TTXH,trật tự xã hội,,left_only
799,TTXVN,Thông tấn xã Việt Nam,,left_only
800,TTYT,Trung tâm y tế,,left_only
801,TTYTDP,Trung tâm Y tế dự phòng,,left_only
803,TVHK,tiếp viên hàng không,,left_only
804,TVN,Than Việt Nam,,left_only
805,TVQH,Thường vụ Quốc hội,,left_only
806,TVV,tư vấn viên,,left_only
807,TW,Trung ương,,left_only
808,TX,Thị xã,,left_only
809,UBCKNN,Ủy ban Chứng khoán Nhà nước,,left_only
810,UBKT,Uỷ ban Kiểm tra,,left_only
811,UBMTTQ,Ủy ban Mạt trận Tổ quốc,,left_only
812,UBMTTQVN,Ủy ban Mặt trận Tổ quốc Việt Nam,,left_only
813,UBNDTP,Ủy ban Nhân dan Thành phố,,left_only
814,UBTDTT,Ủy ban Thể dục Thể thao,,left_only
815,UBTVQH,Ủy ban thường vụ Quốc hội,,left_only
816,ƯCV,ứng cử viên,,left_only
817,UNDP,Chương trình Phát triển Liên Hợp Quốc,,left_only
818,UNESCO,"Tổ chức Giáo dục, Khoa học và Văn hóa của Liên hiệp quốc",,left_only
819,UNFPA,Quỹ dân số Liên Hợp Quốc,,left_only
820,UNHCR,Văn phòng Cao ủy Liên hợp quốc về người tỵ nạn,,left_only
821,UNICEF,Quỹ Nhi đồng Liên hợp quốc,,left_only
822,UNIFIL,Lực lượng gìn giữ hòa bình của LHQ tại miền nam Libăng,,left_only
823,UT,ung thư,,left_only
824,UV,Ủy viên,,left_only
825,UVBCH,Ủy viên ban chấp hành,,left_only
826,UVBCT,Ủy viên Bộ chính trị,,left_only
827,VCB,Ngân hàng ngoại thương Việt Nam,,left_only
828,VCK,Vòng chung kết,,left_only
829,VD,ví dụ,,left_only
830,VĐ,Vô địch,,left_only
831,VDC,Công ty Điện toán và Truyền số liệu,,left_only
832,VĐQG,Vô địch Quốc gia,,left_only
833,VĐV,Vận động viên,,left_only
834,VĐVQG,Vận động viên Quốc gia,,left_only
835,VH,Văn hóa,,left_only
836,VHGDTNTN,Văn hóa Giáo dục Thanh niên Thiếu niên,,left_only
837,VHGDTTNNĐ,Văn hóa Giáo dục Thanh thiếu niên và Nhi đồng,,left_only
838,VHNT,Văn học Nghệ thuật,,left_only
839,VHTT,Văn hóa Thông tin,,left_only
840,VKS,Viện Kiểm sát,,left_only
841,VKSND,Viện Kiểm sát Nhân dân,,left_only
842,VKSNDTC,Viện Kiểm sát Nhân dân Tối cao,,left_only
843,VL,Vật lý,,left_only
844,VLTK,Võ Lâm Truyền Kỳ,,left_only
845,VLXD,Vật liệu xây dựng,,left_only
846,VN,Việt Nam,,left_only
847,VNCC,Tổng Công ty Xi măng Việt Nam,,left_only
848,VNM,Vinamilk,,left_only
849,VP,Văn phòng,,left_only
850,VPCP,Văn phòng chính phủ,,left_only
851,VPĐD,Văn phòng đại diện,,left_only
852,VQG,Vườn Quốc gia,,left_only
853,VS,Vệ sinh,,left_only
854,VSP,Xí nghiệp Liên doanh Vietsovpetro,,left_only
856,VYSA,Hội Thanh niên Sinh viên Việt Nam tại Nhật Bản,,left_only
857,WB,Ngân hàng thế giới,,left_only
858,WTO,Tổ chức Thương mại thế giới,,left_only
859,XD,Xây dựng,,left_only
860,XDCB,xây dựng cơ bản,,left_only
861,XĐGN,Xoá đói giảm nghèo,,left_only
862,XDHK,Xăng dầu hàng không,,left_only
863,XH,Xã hội,,left_only
864,XHCN,Xã hội chủ nghĩa,,left_only
865,XHH,xã hội hóa,,left_only
866,XK,Xuất khẩu,,left_only
867,XKLĐ,xuất khẩu lao động,,left_only
868,XN,Xí nghiệp,,left_only
869,XNK,Xuất nhập khẩu,,left_only
870,XSKT,xổ số kiến thiết,,left_only
871,XTTM,Xúc tiến thương mại,,left_only
872,XX,Xét xử,,left_only
873,YKVN,Y khoa Việt Nam,,left_only
874,YTDP,Y tế Dự phòng,,left_only
875,YTế,Y tế,,left_only
